2019-11-20 11:19:41,990 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.datasource.DataSourceTest], using SpringBootContextLoader
2019-11-20 11:19:41,996 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [learn.flow.dao.datasource.DataSourceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-20 11:19:41,998 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [learn.flow.dao.datasource.DataSourceTest]: DataSourceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-20 11:19:42,291 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:235 - Found @SpringBootConfiguration learn.flow.dao.FlowDaoApplication for test class learn.flow.dao.datasource.DataSourceTest
2019-11-20 11:19:42,468 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-20 11:19:42,504 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1500b2f3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7eecb5b8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@126253fd, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@57db2b13, org.springframework.test.context.support.DirtiesContextTestExecutionListener@475c9c31, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5c86a017, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5c7bfdc1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5276d6ee, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@71687585, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1807f5a7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b919693, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7fb4f2a9]
2019-11-20 11:19:43,200 [main] INFO  [learn.flow.dao.datasource.DataSourceTest] StartupInfoLogger.java:50 - Starting DataSourceTest on C07450 with PID 16380 (started by lxiang17 in D:\PROJECT\flow-all\flow-dao)
2019-11-20 11:19:43,201 [main] INFO  [learn.flow.dao.datasource.DataSourceTest] SpringApplication.java:648 - No active profile set, falling back to default profiles: default
2019-11-20 11:19:44,414 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[learn.flow.dao.repository]' package. Please check your configuration.
2019-11-20 11:19:44,749 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[learn.flow.dao]' package. Please check your configuration.
2019-11-20 11:19:44,763 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[learn.flow.dao]' package. Please check your configuration.
